Code NAC,N1,N2,Niveau 1,Niveau 2,Intitulé NAC
13C,1,13,Droit des personnes,Absence et disparition,Demande de constatation de présomption d'absence
13D,1,13,Droit des personnes,Absence et disparition,Demande de déclaration d'absence
13E,1,13,Droit des personnes,Absence et disparition,Demande d'annulation d'un jugement déclaratif d'absence
13Z,1,13,Droit des personnes,Absence et disparition,Autres demandes relatives à l'absence et à la disparition
14,1,14,Droit des personnes,Droits attachés à la personne,Droits attachés à la personne
14A,1,14,Droit des personnes,Droits attachés à la personne,Demande tendant à la réparation et/ou à la cessation d'une atteinte au droit au respect de la vie privée
14B,1,14,Droit des personnes,Droits attachés à la personne,Demande relative à l'organisation des funérailles ou à la sépulture
14C,1,14,Droit des personnes,Droits attachés à la personne,Demande relative à l'internement d'une personne
14D,1,14,Droit des personnes,Droits attachés à la personne,"Demande de relevé des peines de la faillite personnelle et/ou de l'interdiction de diriger, de gérer, d'administrer ou de contrôler"
14E,1,14,Droit des personnes,Droits attachés à la personne,Demande tendant à la réparation et/ou à la cessation d'une atteinte à la présomption d'innocence
14F,1,14,Droit des personnes,Droits attachés à la personne,Demande relative au don d'organes
14G,1,14,Droit des personnes,Droits attachés à la personne,Demande d'autorisation relative à la rétention et au maintien en zone d'attente d'un étranger
14H,1,14,Droit des personnes,Droits attachés à la personne,Demande de mainlevée de la rétention formée devant le juge des libertés et de la détention par l'étranger
14I,1,14,Droit des personnes,Droits attachés à la personne,Demande de mainlevée d'une mesure d'hospitalisation complète par le patient ou toute personne agissant dans son intérêt
14J,1,14,Droit des personnes,Droits attachés à la personne,Demande de mainlevée d'une mesure d'hospitalisation autre que complète par le patient ou toute personne agissant dans son intérêt
14K,1,14,Droit des personnes,Droits attachés à la personne,Demande de contrôle obligatoire périodique de la nécessité d'une mesure d'hospitalisation complète
14L,1,14,Droit des personnes,Droits attachés à la personne,Demande de contrôle de la nécessité d'une mesure d'hospitalisation complète en cas de désaccord entre psychiatres et préfet
14N,1,14,Droit des personnes,Droits attachés à la personne,Contestation de la légalité de l'arrêté de placement en rétention devant le juge des libertés et de la détention par l'étranger
14O,1,14,Droit des personnes,Droits attachés à la personne,Demande de prolongation d’une mesure de quarantaine ou d’isolement
14P,1,14,Droit des personnes,Droits attachés à la personne,Demande de mainlevée d’une mesure de quarantaine ou d’isolement
14Q,1,14,Droit des personnes,Droits attachés à la personne,Demande d'autorisation de prolongation des mesures de rétention prises à l'encontre des étrangers en situation irrégulière
14R,1,14,Droit des personnes,Droits attachés à la personne,Demande d'autorisation de maintien en zone d'attente d'un étranger demandant son admission sur le territoire français
14S,1,14,Droit des personnes,Droits attachés à la personne,Demande de mainlevée d'une mesure d'isolement et/ou de contention formée à titre principal
14T,1,14,Droit des personnes,Droits attachés à la personne,Demande de maintien d’une mesure d’isolement et/ou de contention formée par le directeur de l’établissement
15,1,15,Droit des personnes,Incapacité des mineurs,Incapacité des mineurs
15A,1,15,Droit des personnes,Incapacité des mineurs,Demande d'autorisation d'un acte ou de désignation d'un administrateur ad hoc dans le cadre d'une administration légale pure et simple
15B,1,15,Droit des personnes,Incapacité des mineurs,Demande d'autorisation d'un acte ou de désignation d'un administrateur ad hoc dans le cadre de l'administration légale sous contrôle judiciaire
15C,1,15,Droit des personnes,Incapacité des mineurs,Demande d'ouverture d'une tutelle - Incapacité des mineurs -
15D,1,15,Droit des personnes,Incapacité des mineurs,Recours exercé à l'encontre d'une décision d'un organe tutélaire - Incapacité des mineurs -
15E,1,15,Droit des personnes,Incapacité des mineurs,Demande d'émancipation
15F,1,15,Droit des personnes,Incapacité des mineurs,Demande d'autorisation d'un acte ou de désignation d'un administrateur ad hoc dans le cadre d'une administration légale
15G,1,15,Droit des personnes,Incapacité des mineurs,Demande aux fins de contrôle d'un acte dans des situations à risque
15H,1,15,Droit des personnes,Incapacité des mineurs,Demande aux fins de levée de contrôle d'un acte
15Z,1,15,Droit des personnes,Incapacité des mineurs,Autres demandes relatives à l'incapacité des mineurs
16,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future
16A,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Appel d'une décision relative à l'organisation ou la prolongation d'une protection judiciaire en faveur d'un jeune majeur
16B,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande d'ouverture d'un régime de protection sans autre indication
16C,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande d'ouverture d'une tutelle - majeurs protégés -
16D,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande d'ouverture d'une curatelle
16E,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande de conversion de tutelle en curatelle
16F,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande de conversion de curatelle en tutelle
16G,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande d'ouverture d'une tutelle aux prestations sociales
16H,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande d'ouverture d'une mesure d'accompagnement judiciaire
16I,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande de conversion de tutelle aux prestations sociales en mesure d'accompagnement judiciaire
16J,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande de placement sous sauvegarde de justice - mesure autonome -
16K,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande de versement direct des prestations sociales au bailleur -contrat d'accompagnement social personnalisé-
16M,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Contestation de la mise en œuvre ou de l'exécution d'un mandat de protection future
16N,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande d'autorisation d'accomplir un acte dans le cadre d'un mandat de protection future
16O,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande aux fins de désignation d'une personne habilitée
16P,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande de conversion d'une tutelle en habilitation familiale
16Q,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande de conversion d'une curatelle en habilitation familiale
16R,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande de conversion d'une habilitation familiale en tutelle
16S,1,16,Droit des personnes,Majeurs protégés : ouverture d'un régime de protection et mandat de protection future,Demande de conversion d'une habilitation familiale en curatelle
17,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Majeurs protégés : fonctionnement des régimes de protection
17A,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Recours contre une décision relative à la gestion de la personne et/ou des biens d'un majeur protégé
17B,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Recours contre une décision relative à la  désignation ou à la  révocation d'un mandataire du majeur placé sous sauvegarde de justice
17C,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Recours contre une décision relative à une demande d'autorisation supplétive d'un acte formée par un majeur en curatelle
17D,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande tendant à modifier l'étendue de la curatelle
17E,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande tendant à modifier l'étendue de la tutelle
17F,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Recours exercé à l'encontre d'une décision d'un organe tutélaire - majeurs protégés -
17G,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande de modification de l'étendue de la tutelle aux prestations sociales
17H,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande de renouvellement de la tutelle aux prestations sociales
17I,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande de modification de l'étendue de la mesure d'accompagnement judiciaire
17J,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande de renouvellement de la mesure d'accompagnement judiciaire
17K,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande de renouvellement de la mesure de tutelle
17L,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande de renouvellement de la mesure de curatelle
17M,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande de renouvellement de la mesure de sauvegarde de justice
17N,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande de changement de représentant légal
17O,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande tendant à modifier l'étendue de l'habilitation familiale
17P,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande de renouvellement de l'habilitation familiale
17Q,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande de changement de représentant légal dans le cadre d'une habilitation familiale
17R,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Recours contre une décision relative à la personne protégée
17S,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Recours contre une décision relative aux biens d'une personne protégé
17T,1,17,Droit des personnes,Majeurs protégés : fonctionnement des régimes de protection,Demande de prorogation de la durée du renouvellement de la mesure
18,1,18,Droit des personnes,"Majeurs protégés : clôture des régimes de protection, et demandes consécutives à la clôture",Majeurs protégés : clôture des régimes de protection et demandes consécutives à la clôture
18A,1,18,Droit des personnes,"Majeurs protégés : clôture des régimes de protection, et demandes consécutives à la clôture",Demande de mainlevée d'une tutelle
18B,1,18,Droit des personnes,"Majeurs protégés : clôture des régimes de protection, et demandes consécutives à la clôture",Demande de mainlevée d'une curatelle
18C,1,18,Droit des personnes,"Majeurs protégés : clôture des régimes de protection, et demandes consécutives à la clôture",Appel relatif à la mainlevée d'une mesure en faveur d'un jeune majeur
18D,1,18,Droit des personnes,"Majeurs protégés : clôture des régimes de protection, et demandes consécutives à la clôture",Demande de mainlevée d'une tutelle aux prestations sociales
18E,1,18,Droit des personnes,"Majeurs protégés : clôture des régimes de protection, et demandes consécutives à la clôture",Demande de mainlevée d'une mesure d'accompagnement judiciaire
18F,1,18,Droit des personnes,"Majeurs protégés : clôture des régimes de protection, et demandes consécutives à la clôture",Demande de mainlevée de la mesure de sauvegarde de justice
18G,1,18,Droit des personnes,"Majeurs protégés : clôture des régimes de protection, et demandes consécutives à la clôture",Demande de mainlevée du versement direct des prestations sociales au bailleur -contrat d'accompagnement social personnalisé-
18H,1,18,Droit des personnes,"Majeurs protégés : clôture des régimes de protection, et demandes consécutives à la clôture",Demande de mainlevée de l'habilitation familiale
18Z,1,18,Droit des personnes,"Majeurs protégés : clôture des régimes de protection, et demandes consécutives à la clôture", Autres demandes relatives à la clôture des régimes de protection
20,2,20,Droit de la famille,Divorce,Divorce
20A,2,20,Droit de la famille,Divorce,Demande en divorce sur requête conjointe
20B,2,20,Droit de la famille,Divorce,Demande en divorce sur demande acceptée
20C,2,20,Droit de la famille,Divorce,"Demande en divorce pour rupture de la vie commune, en cas de séparation de fait"
20D,2,20,Droit de la famille,Divorce,"Demande en divorce pour rupture de la vie commune, en cas de séparation de fait"
20E,2,20,Droit de la famille,Divorce,Demande en divorce pour faute
20F,2,20,Droit de la famille,Divorce,Demande en conversion de la séparation de corps en divorce
20G,2,20,Droit de la famille,Divorce,Demande de modification des mesures provisoires - divorce -
20H,2,20,Droit de la famille,Divorce,Action en opposabilité ou en inopposabilité d'une décision de divorce rendue à l'étranger
20I,2,20,Droit de la famille,Divorce,Demande en divorce par consentement mutuel
20J,2,20,Droit de la famille,Divorce,Art. 751 du CPC - Demande en divorce autre que par consentement mutuel
20K,2,20,Droit de la famille,Divorce,Demande en divorce par consentement mutuel - passerelle -
20L,2,20,Droit de la famille,Divorce,Art. 1107 CPC- Demande en divorce autre que par consentement mutuel
21,2,21,Droit de la famille,Séparation de corps,Séparation de corps
21A,2,21,Droit de la famille,Séparation de corps,Demande en séparation de corps sur requête conjointe
21B,2,21,Droit de la famille,Séparation de corps,Demande en séparation de corps sur demande acceptée
21C,2,21,Droit de la famille,Séparation de corps,"Demande en séparation de corps pour rupture de la vie commune, en cas de séparation de fait"
21D,2,21,Droit de la famille,Séparation de corps,"Demande en séparation de corps pour rupture de la vie commune, en cas d'altération des facultés mentales"
21E,2,21,Droit de la famille,Séparation de corps,Demande en séparation de corps pour faute
21F,2,21,Droit de la famille,Séparation de corps,Demande de modification des mesures provisoires - séparation de corps -
21G,2,21,Droit de la famille,Séparation de corps,Action en opposabilité ou en inopposabilité d'une décision prononçant la séparation de corps rendue à l'étranger
21H,2,21,Droit de la famille,Séparation de corps,Demande en séparation de corps par consentement mutuel
21I,2,21,Droit de la famille,Séparation de corps,Art. 751 du CPC - Demande en séparation de corps autre que par consentement mutuel
21J,2,21,Droit de la famille,Séparation de corps,Demande en séparation de corps par consentement mutuel - passerelle -
21K,2,21,Droit de la famille,Séparation de corps,Art. 1107 du CPC - Demande en séparation de corps autre que par consentement mutuel
22,2,22,Droit de la famille,Demandes postérieures au prononcé du divorce ou de la séparation de corps,Demandes postérieures au prononcé du divorce ou de la séparation de corps
22A,2,22,Droit de la famille,Demandes postérieures au prononcé du divorce ou de la séparation de corps,Demande de modification de l'exercice de l'autorité parentale ou de la résidence habituelle des enfants mineurs - après divorce ou séparation de corps -
22B,2,22,Droit de la famille,Demandes postérieures au prononcé du divorce ou de la séparation de corps,Demande de révision de la prestation compensatoire ou de substitution d'un capital à la rente
22C,2,22,Droit de la famille,Demandes postérieures au prononcé du divorce ou de la séparation de corps,Demande de modification de la contribution à l'entretien des enfants - après divorce ou séparation de corps -
22D,2,22,Droit de la famille,Demandes postérieures au prononcé du divorce ou de la séparation de corps,Demande de fixation ou de modification de la pension alimentaire versée au conjoint
22E,2,22,Droit de la famille,Demandes postérieures au prononcé du divorce ou de la séparation de corps,Demande de modification du droit de visite - après divorce ou séparation de corps -
22F,2,22,Droit de la famille,Demandes postérieures au prononcé du divorce ou de la séparation de corps,Demande relative au bail concédé à l'un des époux
22G,2,22,Droit de la famille,Demandes postérieures au prononcé du divorce ou de la séparation de corps,Demande relative à la liquidation du régime matrimonial
23,2,23,Droit de la famille,Mariage et régimes matrimoniaux,Mariage et régimes matrimoniaux
23A,2,23,Droit de la famille,Mariage et régimes matrimoniaux,Demande en nullité de mariage
23B,2,23,Droit de la famille,Mariage et régimes matrimoniaux,Demande de mainlevée d'une opposition à mariage
23C,2,23,Droit de la famille,Mariage et régimes matrimoniaux,Demande en nullité d'un acte passé par un époux sans le consentement de l'autre
23D,2,23,Droit de la famille,Mariage et régimes matrimoniaux,Demande d'autorisation à passer seul un acte
23E,2,23,Droit de la famille,Mariage et régimes matrimoniaux,"Demande relative à l'habilitation à représenter l'autre conjoint, ou à lui être substitué dans la gestion des biens propres ou communs"
23F,2,23,Droit de la famille,Mariage et régimes matrimoniaux,Demande de mesures urgentes lorsque l'un des époux manque gravement à ses devoirs et met en péril les intérêts de la famille
23G,2,23,Droit de la famille,Mariage et régimes matrimoniaux,Demande d'homologation du changement de régime matrimonial
23H,2,23,Droit de la famille,Mariage et régimes matrimoniaux,Demande en séparation de biens judiciaire
23I,2,23,Droit de la famille,Mariage et régimes matrimoniaux,Demande en nullité de mariage célébré à l’étranger par le procureur de la République de Nantes
23J,2,23,Droit de la famille,Mariage et régimes matrimoniaux,Demande en nullité de mariage célébré en France par le procureur de la République
23K,2,23,Droit de la famille,Mariage et régimes matrimoniaux,Demande en nullité de mariage par toute partie autre que le procureur de la République
23Z,2,23,Droit de la famille,Mariage et régimes matrimoniaux,Autres demandes relatives au mariage et au régime matrimonial
24,2,24,Droit de la famille,Obligations à caractère alimentaire,Obligations à caractère alimentaire
24A,2,24,Droit de la famille,Obligations à caractère alimentaire,Demande relative à la pension alimentaire des enfants nés hors mariage
24B,2,24,Droit de la famille,Obligations à caractère alimentaire,Demande tendant à faire décharger le débiteur de tout ou partie de sa dette pour cause d'ingratitude du créancier
24C,2,24,Droit de la famille,Obligations à caractère alimentaire,Demande d'entretien formée par l'enfant majeur
24D,2,24,Droit de la famille,Obligations à caractère alimentaire,Recours entre codébiteurs d'aliments
24E,2,24,Droit de la famille,Obligations à caractère alimentaire,Recours des tiers payeurs contre les débiteurs d'aliments
24F,2,24,Droit de la famille,Obligations à caractère alimentaire,Contribution aux charges du mariage
24G,2,24,Droit de la famille,Obligations à caractère alimentaire,Action à fin de subsides
24H,2,24,Droit de la famille,Obligations à caractère alimentaire,Contestation relative au paiement direct ou au recouvrement public des pensions alimentaires
24I,2,24,Droit de la famille,Obligations à caractère alimentaire,Demande relative à la fixation de la pension alimentaire des enfants - parents non mariés -
24J,2,24,Droit de la famille,Obligations à caractère alimentaire,Demande relative à la révision de la pension alimentaire des enfants - parents non mariés -
24K,2,24,Droit de la famille,Obligations à caractère alimentaire,Demande relative à la fixation de l'obligation alimentaire formée par l'enfant majeur à l'égard de ses parents ou autres ascendants
24L,2,24,Droit de la famille,Obligations à caractère alimentaire,Demande relative à la révision de l'obligation alimentaire formée par l'enfant majeur à l'égard de ses parents ou autres ascendants
24M,2,24,Droit de la famille,Obligations à caractère alimentaire,Demande relative à la fixation ou à la révision de l'obligation alimentaire formée par des parents ou autres ascendants à l'égard de leurs enfants
24N,2,24,Droit de la famille,Obligations à caractère alimentaire,Demande de rétablissement judiciaire de l'intermédiation financière
24Z,2,24,Droit de la famille,Obligations à caractère alimentaire,Autres demandes en matière d'obligation alimentaire
25,2,25,Droit de la famille,Filiation légitime et légitimation (postes à n'utiliser qu'en cas de recours à compter du 1er juillet 2006),Filiation légitime et légitimation (postes à n'utiliser qu'en cas de recours à compter du 1er juillet 2006)
25A,2,25,Droit de la famille,Filiation légitime et légitimation (postes à n'utiliser qu'en cas de recours à compter du 1er juillet 2006),Action en désaveu de paternité (action introduite devant le TGI avant le 1er juillet 2006)
25B,2,25,Droit de la famille,Filiation légitime et légitimation (postes à n'utiliser qu'en cas de recours à compter du 1er juillet 2006),Action en contestation de paternité formée par la mère remariée (action introduite devant le TGI avant le 1er juillet 2006)
25C,2,25,Droit de la famille,Filiation légitime et légitimation (postes à n'utiliser qu'en cas de recours à compter du 1er juillet 2006),Autres actions tendant à contester la présomption de paternité légitime (action introduite devant le TGI avant le 1er juillet 2006)
25D,2,25,Droit de la famille,Filiation légitime et légitimation (postes à n'utiliser qu'en cas de recours à compter du 1er juillet 2006),Action en rétablissement de la présomption de paternité légitime (action introduite devant le TGI avant le 1er juillet 2006)
25E,2,25,Droit de la famille,Filiation légitime et légitimation (postes à n'utiliser qu'en cas de recours à compter du 1er juillet 2006),"Action en contestation d'état, action en réclamation d'état (action introduite devant le TGI avant le 1er juillet 2006)"
25F,2,25,Droit de la famille,Filiation légitime et légitimation (postes à n'utiliser qu'en cas de recours à compter du 1er juillet 2006),Action en revendication d'enfant légitime (action introduite devant le TGI avant le 1er juillet 2006)
25G,2,25,Droit de la famille,Filiation légitime et légitimation (postes à n'utiliser qu'en cas de recours à compter du 1er juillet 2006),Demande de légitimation postérieurement au mariage (action introduite devant le TGI avant le 1er juillet 2006)
25H,2,25,Droit de la famille,Filiation légitime et légitimation (postes à n'utiliser qu'en cas de recours à compter du 1er juillet 2006),Demande relative au consentement à une procréation médicalement assistée ou à la délivrance d'un acte de notoriété constatant la possession d'état d'enfant légitime (action introduite devant le TGI avant le 1er juillet 2006)
25I,2,25,Droit de la famille,Filiation légitime et légitimation (postes à n'utiliser qu'en cas de recours à compter du 1er juillet 2006),Demande de légitimation par autorité de justice (action introduite devant le TGI avant le 1er juillet 2006)
26,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Filiation naturelle (recours) et filiation adoptive
26A,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Action en contestation de reconnaissance et demande en nullité de reconnaissance (action introduite devant le TGI avant le 1er juillet 2006)
26B,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Action en recherche de paternité naturelle (action introduite devant le TGI avant le 1er juillet 2006)
26C,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Action en recherche de maternité naturelle (action introduite devant le TGI avant le 1er juillet 2006)
26D,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Demande tendant à la restitution de l'enfant après rétractation du consentement à l'adoption
26E,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Demande en déclaration d'abandon
26F,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Demande d'adoption simple
26G,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Demande d'adoption plénière
26H,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Demande de révocation d'une adoption simple
26I,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Demande relative au consentement à une procréation médicalement assistée ou à la délivrance d'un acte de notoriété constatant la possession d'état - filiation naturelle - (action introduite devant le TGI avant le 1er juillet 2006)
26J,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Demande d'adoption simple de l'enfant du conjoint
26K,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Demande d'adoption plénière de l'enfant du conjoint
26Y,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Autres demandes relatives à la filiation adoptive
26Z,2,26,Droit de la famille,Filiation naturelle (recours) et filiation adoptive,Autres demandes relatives à la filiation naturelle et à la filiation adoptive (action introduite devant le TGI avant le 1er juillet 2006)
27,2,27,Droit de la famille,Autorité parentale,Autorité parentale
27A,2,27,Droit de la famille,Autorité parentale,"Demande relative au droit de visite des grands-parents ou autres personnes, parents ou non"
27B,2,27,Droit de la famille,Autorité parentale,Demande tendant à faire trancher un conflit relatif à l'exercice de l'autorité parentale - parents mariés -
27C,2,27,Droit de la famille,Autorité parentale,Demande de délégation ou de transfert de délégation de l'autorité parentale
27D,2,27,Droit de la famille,Autorité parentale,Demande de retrait total de l'autorité parentale
27E,2,27,Droit de la famille,Autorité parentale,Demande de restitution de l'autorité parentale
27F,2,27,Droit de la famille,Autorité parentale,"Demande relative à l'exercice de l'autorité parentale, à la fixation de la résidence habituelle des enfants mineurs, ou au droit de visite - parents non mariés - "
27G,2,27,Droit de la famille,Autorité parentale,Recours en matière de mesure judiciaire d'aide à la gestion du budget familial
27H,2,27,Droit de la famille,Autorité parentale,Recours contre une mesure relative à l'assistance éducative
27I,2,27,Droit de la famille,Autorité parentale,Demande relative à l'exercice de l'autorité parentale à l'égard de l'enfant qui a fait l'objet d'une adoption simple par le conjoint
27J,2,27,Droit de la famille,Autorité parentale,Demande aux fins d'obtenir le retour de l'enfant -enlèvement international d'enfant-
27K,2,27,Droit de la famille,Autorité parentale,Demande d'interdiction de sortie de territoire d'un mineur sans l’autorisation des deux parents
27L,2,27,Droit de la famille,Autorité parentale,Demande en déclaration judiciaire de délaissement parental
27M,2,27,Droit de la famille,Autorité parentale,Demande du procureur de la République à l’issue d’une suspension de plein droit de l'exercice de l'autorité parentale sur le fondement de l’art. 378-2 du C. civ.
27Z,2,27,Droit de la famille,Autorité parentale,Autres demandes relatives à l'autorité parentale
28,2,28,Droit de la famille,"Partage, indivision, succession","Partage, indivision, succession"
28A,2,28,Droit de la famille,"Partage, indivision, succession","Demande en partage, ou contestations relatives au partage"
28B,2,28,Droit de la famille,"Partage, indivision, succession","Demande en annulation d'un acte accompli sur un bien indivis, ou d'une convention d'indivision"
28C,2,28,Droit de la famille,"Partage, indivision, succession",Demande relative aux pouvoirs de gestion des biens indivis
28D,2,28,Droit de la famille,"Partage, indivision, succession",Demande relative aux charges et revenus de l'indivision
28E,2,28,Droit de la famille,"Partage, indivision, succession",Demande relative à l'option successorale
28F,2,28,Droit de la famille,"Partage, indivision, succession",Recours sur la succession exercé par un organisme social
28G,2,28,Droit de la famille,"Partage, indivision, succession",Demande relative à une succession vacante ou non réclamée
28H,2,28,Droit de la famille,"Partage, indivision, succession",Demande d'apposition de scellés
28I,2,28,Droit de la famille,"Partage, indivision, succession",Contestation en matière de scellés
28Z,2,28,Droit de la famille,"Partage, indivision, succession",Autres demandes en matière de succession
29,2,29,Droit de la famille,Libéralités (donations et testaments),Libéralités (donations et testaments)
29A,2,29,Droit de la famille,Libéralités (donations et testaments),"Demande en annulation, en réduction d'une libéralité ou d'une clause d'une libéralité"
29B,2,29,Droit de la famille,Libéralités (donations et testaments),Demande en révocation d'une libéralité ou en caducité d'un legs
29C,2,29,Droit de la famille,Libéralités (donations et testaments),Demande en délivrance d'un legs
29D,2,29,Droit de la famille,Libéralités (donations et testaments),Demande relative aux modalités d'une libéralité faite au conjoint survivant
29E,2,29,Droit de la famille,Libéralités (donations et testaments),Demande relative au rapport à succession
29F,2,29,Droit de la famille,Libéralités (donations et testaments),Demande relative aux libéralités faites à l'Etat ou à des établissements publics
29Z,2,29,Droit de la famille,Libéralités (donations et testaments),Autres demandes en matière de libéralités
2A,2,2A,Droit de la famille,Filiation,Filiation
